Job Name,Company,Location
Data Analyst,Staffbase,"Berlin, Germany"
Data Scientist,Apiax,"Frankfurt, Hesse, Germany"
Junior Data Analyst:in (m/w/d),Smart Pricer,"Berlin, Berlin, Germany"
Intern for Data Science Team (f/m/d),Sunday,"Hamburg, Hamburg, Germany"
Senior Data Scientist / Analyst (m/f/d),Peter Park,"Munich, Bavaria, Germany"
Business Solution Consultants Graduates (f/d/m),SAP Fioneer,Germany
Data Scientist Intern,MeloTech,"Berlin, Berlin, Germany"
Senior Business Analyst (Back Office),payabl.,"Frankfurt, Hesse, Germany"
Business-Analyst:in,Folkz Group,"Hamburg, Germany"
Data Analyst / Business Intelligence Internship (m/w/d),DHL Supply Chain,"Cologne, North Rhine-Westphalia, Germany"
Head of Data & Insights (m /f/ d),Oetker Digital,"Berlin, Berlin, Germany"
Data Analyst Working Student (m/f/d) for Berlin based Start-up,FINE Legal,"Berlin, Berlin, Germany"
Business Intelligence Analyst - People Analytics (m/f/x),HelloFresh,"Berlin, Berlin, Germany"
Business Analyst (f/m/d) Strategic Portfolio Management,Nanogami,"Munich, Bavaria, Germany"
Junior Web Analyst (m/d/f),roadsurfer,Germany
Big Data & Business Analyst (f/m/div.),Bosch,"Karlsruhe, Baden-Württemberg, Germany"
Praktikum - Industrial Data Science,AUDI AG,"Ingolstadt, Bavaria, Germany"
(Junior) Business Analyst (m/w/d),hachmeister+partner,"Bielefeld, North Rhine-Westphalia, Germany"
Research Assistants AI / ML Operations,Hochschule Heilbronn - diese Seite bitte nicht mehr verwenden,"Heilbronn, Baden-Württemberg, Germany"
Research Assistant Business Engineering,Hochschule Heilbronn - diese Seite bitte nicht mehr verwenden,"Heilbronn, Baden-Württemberg, Germany"
Working Student Data Analyst (f/x/m),Puls,"Berlin, Berlin, Germany"
Junior Research Consultant (mensch),Omnicom Media Group,"Düsseldorf, North Rhine-Westphalia, Germany"
"VP of Data & Analytics in Hamburg, Deutschland",Energy Jobline,"Hamburg, Hamburg, Germany"
Kanzler,Gisma University of Applied Sciences,"Potsdam, Brandenburg, Germany"
M&A Analyst (m/w/d),Parklane Capital,"Hamburg, Hamburg, Germany"
Junior Software Developer at energy efficiency startup in Berlin (m/f/d),perto,"Berlin, Berlin, Germany"
Data Analyst - AI/Machine Learning Company - Up to €75k,Optimus Search,"Mainz, Rhineland-Palatinate, Germany"
Senior Data Analyst,Ultimate,"Berlin, Berlin, Germany"
Data Analyst (M/W/D),CBTW,"Mannheim, Baden-Württemberg, Germany"
Data Analyst (m/w/d) für Anlagenprojekte,BAADER,"Lübeck, Schleswig-Holstein, Germany"
Data Operations Specialist,Latana,"Berlin, Germany"
Data Analyst (m/w/d),RTL2 Fernsehen GmbH & Co. KG,"Kirchheim bei München, Bavaria, Germany"
Senior Business-Analyst:in,SThree,"Wiesbaden, Hesse, Germany"
Data Scientist (m/w/d),GNS Systems GmbH,"Brunswick, Lower Saxony, Germany"
Post-Doc Position,University of Konstanz,"Constance, Baden-Württemberg, Germany"
Business Analytics Manager (m/f/d),subrosa Health & Capital GmbH,Greater Munich Metropolitan Area
Data Analyst in Vollzeit (m/w/d),Thermengruppe Josef Wund,"Sinsheim, Baden-Württemberg, Germany"
Product Manager (Checkout Experience),payabl.,"Frankfurt, Hesse, Germany"
Data Scientist (m/w/d),Volksbank im Münsterland eG,"Münster, North Rhine-Westphalia, Germany"
Data Science Analyst:in (w/m/d),Smart Pricer,"Berlin, Berlin, Germany"
Werkstudent (m/w/d) KI & Machine Learning,rhenag Rheinische Energie AG,"Cologne, North Rhine-Westphalia, Germany"
Head of Data and Analytics (m/f/d),Project A Ventures,"Berlin, Berlin, Germany"
Data Scientist (m/w/d) Life Science,xValue GmbH,"Ratingen, North Rhine-Westphalia, Germany"
Principal Data Scientist - Machine Learning (f/m/d),Almedia,"Berlin, Berlin, Germany"
Junior Data Consultant (m/w/d),taod Consulting GmbH,"Cologne, North Rhine-Westphalia, Germany"
Head of Advanced Analytics & IoT - Energy & Utilities Sector,Quotacom,"Düsseldorf, North Rhine-Westphalia, Germany"
Data Scientist (gn),encentive GmbH,"Hamburg, Hamburg, Germany"
AI & Data Scientist (m/f/d),Ubermetrics Technologies GmbH,"Berlin, Berlin, Germany"
Business-Analyst:in,Winfried Bungert Executive Search,"Cologne, North Rhine-Westphalia, Germany"
"Bachelor of Science (m/w/d) Data Science and Artificial Intelligence, Start 2024",TecAlliance,"Weikersheim, Baden-Württemberg, Germany"
Data Scientist,Understanding Recruitment,Germany
Data Analyst in Vollzeit (m/w/d),Thermengruppe Josef Wund,"Euskirchen, North Rhine-Westphalia, Germany"
Senior Data Analyst,Parallel Consulting,"Berlin, Germany"
Team & Office Assistant (m/w/d),Institute for Law and Finance (Goethe University Frankfurt),Frankfurt Rhine-Main Metropolitan Area
Graduate - Risk Reporting - based in Luxembourg,European Investment Bank (EIB),"Berlin, Berlin, Germany"
Business Consultant,RailCube,"Cologne, North Rhine-Westphalia, Germany"
Trainee Data Consultant,siːkwəl – analytics engineering | sikwel GmbH,"Oldenburg, Lower Saxony, Germany"
Senior Research Consultant - Modeling and Meta-Analysis,OPEN Health,Germany
Senior Data Scientist (m/f/d),Ströer SE & Co. KGaA,"Berlin, Germany"
AI Engineer @ Briink,Briink,"Berlin, Berlin, Germany"
Working Student Operations / Data Analysis - Team Case Qualification (m/w/d) for FINE Legal - Startup in Berlin,FINE Legal,"Berlin, Berlin, Germany"
Market Intelligence Analyst,Hyundai Motor Europe,"Offenbach, Hesse, Germany"
Junior Analyst (m/w/d),afus GmbH,"Neu-Isenburg, Hesse, Germany"
Machine Learning Engineer,Ecosia,"Berlin, Berlin, Germany"
Strategy Manager,EVBoosters - we are hiring!!,"Lower Saxony, Germany"
"Business Analyst (all genders) Berlin, Germany",simplesurance GmbH,"Berlin, Germany"
"Data scientist, mathematician or similar (f/m/x)",German Aerospace Center (DLR),"Ulm, Baden-Württemberg, Germany"
Junior Financial Analyst (m/w/d),Hermes Germany GmbH,"Hamburg, Hamburg, Germany"
Business Analyst (M/W/D),CBTW,"Berlin, Berlin, Germany"
Senior Strategy Consultant,Brightsmith,Germany
Associate Director Of Data & Analytics (Freelance/Contract),Salt,"Hamburg, Germany"
Business Analyst für PowerBI / BI-Systeme (w|m|d),ADAC,"München, Bavaria, Germany"
Data Analyst / BI Specialist (m/w/d),J.T. Ronnefeldt KG,"Frankfurt, Hesse, Germany"
Senior Analytics Engineer / BI (all genders),Banxware,"Berlin, Berlin, Germany"
Young Professional | Data Analysis (m/w/d),ASAP Gruppe,"Ingolstadt, Bavaria, Germany"
Commercial Analyst,VARO Energy,"Hamburg, Hamburg, Germany"
"Sr. Data Analyst, Customer Insights, EU",Athletic Greens,Germany
Business Data Analyst (all people) im Home Office,ExB Group,Germany
Data Analyst (m/w/d),Glasfaser NordWest GmbH & Co. KG,"Oldenburg, Lower Saxony, Germany"
Research Associate (m/f/x),Technische Universität Dresden,"Dresden, Saxony, Germany"
Business Analyst Kundendatenmanagement (m/w/d),Allianz,"Unterföhring, Bavaria, Germany"
Junior Data Engineer (m/w/d),taod Consulting GmbH,"Cologne, North Rhine-Westphalia, Germany"
Data Scientist (Full Stack) m/w/d,Mediengruppe Neue Westfälische,"Bielefeld, North Rhine-Westphalia, Germany"
